Desi/KG,Aras,DHL eCommerce,Kolay Gelsin,PTT,Sürat,TEX,Yurtiçi,Borusan,CEVA,Horoz
298,2581.81,7105.31,5627.69,,3109.35,,3118.07,3918.28,3567.27,3355.79
299,2590.38,7130.30,5647.69,,3119.89,,3128.37,3931.44,3579.26,3367.05
300,2598.94,7155.29,5667.69,,3130.44,,3138.67,3944.58,3591.25,3378.31
301,2607.51,7180.28,5687.69,,3140.98,,3148.96,3957.73,3603.24,3389.57
302,2616.08,7205.27,5707.69,,3151.52,,3159.26,3970.89,3615.23,3400.83
303,2624.64,7230.26,5727.69,,3162.06,,3169.55,3984.03,3627.22,3412.10
304,2633.21,7255.25,5747.69,,3172.60,,3179.85,3997.18,3639.21,3423.35
305,2641.78,7280.24,5767.69,,3183.15,,3190.15,4010.33,3651.20,3434.62
306,2650.34,7305.23,5787.69,,3193.69,,3200.44,4023.48,3663.18,3445.87
307,2658.91,7330.22,5807.69,,3204.23,,3210.74,4036.62,3675.17,3457.14
308,2667.48,7355.21,5827.69,,3214.77,,3221.04,4049.78,3687.16,3468.40
309,2676.04,7380.20,5847.69,,3225.31,,3231.33,4062.92,3699.15,3479.66
310,2684.61,7405.19,5867.68,,3235.86,,3241.63,4076.07,3711.14,3490.92
